Product Name,Price,Image URL,Product URL,User Rating,Review Count,Specifications,Brand,Product ID,Category
Benco 4G G3,380.000₫,https://cdn.tgdd.vn/Products/Images/42/330485/benco-4g-g3-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/benco-4g-g3,3.7,3,{},Benco,330485,Điện thoại
HONOR X5 Plus 4GB/64GB,2.290.000₫,https://cdn.tgdd.vn/Products/Images/42/313306/honor-x5-plus-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x5-plus,3.7,12,"{'RAM': '4 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '5 MP'}",HONOR,313306,Điện thoại
HONOR X8b 8GB/512GB,6.390.000₫,https://cdn.tgdd.vn/Products/Images/42/324893/honor-x8b-green-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x8b,4.3,47,"{'RAM': '8 GB', 'Dung lượng': '512 GB', 'Camera sau': 'Chính 108 MP & Phụ 5 MP, 2 MP', 'Camera trước': '50 MP'}",HONOR,324893,Điện thoại
HONOR X7c 8GB/256GB,5.490.000₫,https://cdn.tgdd.vn/Products/Images/42/331512/honor-x7c-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x7c,,0,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 108 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",HONOR,331512,Điện thoại
HONOR X6b,3.690.000₫,https://cdn.tgdd.vn/Products/Images/42/327258/honor-x6b-purple-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x6b-6gb-128gb,4.0,4,"{'RAM': '6 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '5 MP'}",HONOR,327258,Điện thoại
HONOR 200 5G,12.090.000₫,https://cdn.tgdd.vn/Products/Images/42/329133/honor-200-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-200-12gb-256gb,,0,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 50 MP, 12 MP', 'Camera trước': '50 MP'}",HONOR,329133,Điện thoại
iPhone 16 Pro Max,34.490.000₫,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-16-pro-max,2.8,52,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 48 MP & Phụ 48 MP, 12 MP', 'Camera trước': '12 MP'}",iPhone (Apple),329149,Điện thoại
iPhone 16 Pro,28.890.000₫,https://cdn.tgdd.vn/Products/Images/42/329143/iphone-16-pro-titan-sa-mac.png,https://www.thegioididong.com/dtdd/iphone-16-pro,2.2,13,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 48 MP & Phụ 48 MP, 12 MP', 'Camera trước': '12 MP'}",iPhone (Apple),329143,Điện thoại
iPhone 16 Plus,25.990.000₫,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-16-plus,,0,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 48 MP & Phụ 12 MP', 'Camera trước': '12 MP'}",iPhone (Apple),329138,Điện thoại
iPhone 16,22.290.000₫,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png,https://www.thegioididong.com/dtdd/iphone-16,2.3,3,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 48 MP & Phụ 12 MP', 'Camera trước': '12 MP'}",iPhone (Apple),329135,Điện thoại
