Column1,Column2,Column3,Column4
Review,Sentiment,Cleaned_Review,Tokenized_Review
"Pin s?c 100% nh?ng khi rút s?c thì còn 98%, còn t?t pin r?t nhanh, nh?n tin b? ?? không hi?n bàn phím.",,pin s?c nh?ng khi rút s?c thì còn còn t?t pin r?t nhanh nh?n tin b? ?? không hi?n bàn phím,pin s?c 100 nh?ng khi rút s?c thì còn 98 còn t?t pin r?t nhanh nh?n_tin b? ?? không hi?n bàn_phím
Không vào ???c quà t?ng VIP ?ã g?i t?ng ?ài r?t nhi?u l?n mà ch?a x? lý,,không vào ???c quà t?ng vip ?ã g?i t?ng ?ài r?t nhi?u l?n mà ch?a x? lý,không vào ???c quà t?ng vip ?ã g?i t?ng_?ài r?t nhi?u l?n mà ch?a x?_lý
"Camera b? ??ng s??ng g?i ?i b?o hành l?n th? 3 v?n ch?a khác ph?c ???c. Ch?c n?ng khác s?c nhanh, m?ng wifi ok",,camera b? ??ng s??ng g?i ?i b?o hành l?n th? v?n ch?a khác ph?c ???c ch?c n?ng khác s?c nhanh m?ng wifi ok,camera b?_??ng s??ng g?i ?i b?o_hành l?n th? 3 v?n ch?a khác ph?c ???c ch?c_n?ng khác s?c nhanh m?ng wifi ok
"T? KHI MUA T?I GI? B? TREO LOGO XIAOMI 2 L?N, L?N NÀO C?NG PH?I RESET L?I , M?T H?T D? LI?U, PH?I CÀI L?I T? ??U, KHÔNG NÊN MUA NHA CÁC B?N, R?T T?N",,t? khi mua t?i gi? b? treo logo xiaomi l?n l?n nào c?ng ph?i reset l?i m?t h?t d? li?u ph?i cài l?i t? ??u không nên mua nha các b?n r?t t?n,t? khi mua t?i gi? b? treo logo xiaomi 2 l?n_l?n nào c?ng ph?i reset l?i m?t h?t d?_li?u ph?i cài l?i t? ??u không nên mua nha các b?n r?t t?n
ai có nhu c?u ch?i game thì tuy?t ??i ko ???c mua quá t?,,ai có nhu c?u ch?i game thì tuy?t ??i ko ???c mua quá t?,ai có nhu_c?u ch?i game thì tuy?t_??i ko ???c mua quá t?
V?a ch?i game v?a g?i mess r?t là lang.vào tìk took video ??u tiên s? b? ??ng .m b? t?i màn hình m?y l?n ??u ph?i t?t ngu?n..fin OK .. ?i d??i m?a xài OK .âm thanh l?n.toc ?? x? lý không m??t . g?i mess t?t ti?ng r?i.. ?? g?i grap nói k nghe ???c..mai ?em ?i ??i,,v?a ch?i game v?a g?i mess r?t là langvào tìk took video ??u tiên s? b? ??ng m b? t?i màn hình m?y l?n ??u ph?i t?t ngu?nfin ok ?i d??i m?a xài ok âm thanh l?ntoc ?? x? lý không m??t g?i mess t?t ti?ng r?i ?? g?i grap nói k nghe ???cmai ?em ?i ??i,v?a ch?i game v?a g?i mess r?t là langvào tìk took video ??u_tiên s? b? ??ng m b? t?i màn_hình m?y l?n ??u ph?i t?t ngu?nfin ok ?i d??i m?a xài ok âm_thanh l?ntoc ?? x?_lý không m??t g?i mess t?t ti?ng r?i ?? g?i grap nói k nghe ???cmai ?em ?i ??i
?ã ph?n h?i lên nh?ng ch?a có ng??i h? tr?,,?ã ph?n h?i lên nh?ng ch?a có ng??i h? tr?,?ã ph?n_h?i lên nh?ng ch?a có ng??i h?_tr?
mua 6/9 v? vài b?a lên ios 17 l?i t?a l?a..ko b?t t?t d? li?u di ??ng ? c?a s?..ko t?t d? li?u di ??ng t?ng ?ng d?ng..ko t?t b?t ?c d? li?u n?n,,mua v? vài b?a lên ios l?i t?a l?ako b?t t?t d? li?u di ??ng ? c?a s?ko t?t d? li?u di ??ng t?ng ?ng d?ngko t?t b?t ?c d? li?u n?n,mua 69 v? vài b?a lên ios 17 l?i t?a l?ako b?t_t?t d?_li?u di_??ng ? c?a s?ko t?t d?_li?u di_??ng t?ng ?ng d?ngko t?t b?t ?c d?_li?u n?n
S?c lâu pin nhanh h?t,,s?c lâu pin nhanh h?t,s?c lâu pin nhanh h?t
