Review,Sentiment,Cleaned_Review,Tokenized_Review
"Pin sạc 100% nhưng khi rút sạc thì còn 98%, còn tụt pin rất nhanh, nhắn tin bị đơ không hiện bàn phím.", ,pin sạc 100 nhưng khi rút sạc thì còn 98 còn tụt pin rất nhanh nhắn tin bị đơ không hiện bàn phím,pin sạc 100 nhưng khi rút sạc thì còn 98 còn tụt pin rất nhanh nhắn_tin bị đơ không hiện bàn_phím
Không vào được quà tặng VIP đã gọi tổng đài rất nhiều lần mà chưa xử lý, ,không vào được quà tặng vip đã gọi tổng đài rất nhiều lần mà chưa xử lý,không vào được quà tặng vip đã gọi tổng_đài rất nhiều lần mà chưa xử_lý
"Camera bị động sương gửi đi bảo hành lần thứ 3 vẫn chưa khác phục được. Chức năng khác sạc nhanh, mạng wifi ok", ,camera bị động sương gửi đi bảo hành lần thứ 3 vẫn chưa khác phục được chức năng khác sạc nhanh mạng wifi ok,camera bị_động sương gửi đi bảo_hành lần thứ 3 vẫn chưa khác phục được chức_năng khác sạc nhanh mạng wifi ok
"TỪ KHI MUA TỚI GIỜ BỊ TREO LOGO XIAOMI 2 LẦN, LẦN NÀO CŨNG PHẢI RESET LẠI , MẤT HẾT DỮ LIỆU, PHẢI CÀI LẠI TỪ ĐẦU, KHÔNG NÊN MUA NHA CÁC BẠN, RẤT TỞN", ,từ khi mua tới giờ bị treo logo xiaomi 2 lần lần nào cũng phải reset lại mất hết dữ liệu phải cài lại từ đầu không nên mua nha các bạn rất tởn,từ khi mua tới giờ bị treo logo xiaomi 2 lần_lần nào cũng phải reset lại mất hết dữ_liệu phải cài lại từ đầu không nên mua nha các bạn rất tởn
ai có nhu cầu chơi game thì tuyệt đối ko được mua quá tệ, ,ai có nhu cầu chơi game thì tuyệt đối ko được mua quá tệ,ai có nhu_cầu chơi game thì tuyệt_đối ko được mua quá tệ
Vừa chơi game vừa gọi mess rất là lang.vào tìk took video đầu tiên sẽ bị đứng .m bị tối màn hình mấy lần đều phải tắt nguồn..fin OK .. đi dưới mưa xài OK .âm thanh lớn.toc độ xử lý không mượt . gọi mess tắt tiếng rồi.. để gọi grap nói k nghe được..mai đem đi đổi, ,vừa chơi game vừa gọi mess rất là langvào tìk took video đầu tiên sẽ bị đứng m bị tối màn hình mấy lần đều phải tắt nguồnfin ok đi dưới mưa xài ok âm thanh lớntoc độ xử lý không mượt gọi mess tắt tiếng rồi để gọi grap nói k nghe đượcmai đem đi đổi,vừa chơi game vừa gọi mess rất là langvào tìk took video đầu_tiên sẽ bị đứng m bị tối màn_hình mấy lần đều phải tắt nguồnfin ok đi dưới mưa xài ok âm_thanh lớntoc độ xử_lý không mượt gọi mess tắt tiếng rồi để gọi grap nói k nghe đượcmai đem đi đổi
đã phản hồi lên nhưng chưa có người hỗ trợ, ,đã phản hồi lên nhưng chưa có người hỗ trợ,đã phản_hồi lên nhưng chưa có người hỗ_trợ
mua 6/9 về vài bữa lên ios 17 lỗi từa lưa..ko bật tắt dữ liệu di động ở cửa sổ..ko tắt dữ liệu di động từng ứng dụng..ko tắt bật đc dữ liệu nền, ,mua 69 về vài bữa lên ios 17 lỗi từa lưako bật tắt dữ liệu di động ở cửa sổko tắt dữ liệu di động từng ứng dụngko tắt bật đc dữ liệu nền,mua 69 về vài bữa lên ios 17 lỗi từa lưako bật_tắt dữ_liệu di_động ở cửa sổko tắt dữ_liệu di_động từng ứng dụngko tắt bật đc dữ_liệu nền
Sạc lâu pin nhanh hết, ,sạc lâu pin nhanh hết,sạc lâu pin nhanh hết
Khá thất vọng vì pin quá nhanh hết. Mình cần là pin trâu chứ ngày sạc liên tục thế này ko ổn. Mặc dù mua chưa được một tuần. Pin thua cả con oppo a58 của mình. Lên bảo hành thì bảo máy bình thường. Lúc nhận máy thì hộp ko còn nguyên vẹn. Kèm khá nhiều dấu vân tay, ,khá thất vọng vì pin quá nhanh hết mình cần là pin trâu chứ ngày sạc liên tục thế này ko ổn mặc dù mua chưa được một tuần pin thua cả con oppo a58 của mình lên bảo hành thì bảo máy bình thường lúc nhận máy thì hộp ko còn nguyên vẹn kèm khá nhiều dấu vân tay,khá thất_vọng vì pin quá nhanh hết_mình cần là pin trâu chứ ngày sạc liên_tục thế_này ko ổn mặc_dù mua chưa được một tuần pin thua cả con oppo a58 của mình lên bảo_hành thì bảo máy bình_thường lúc nhận máy thì hộp ko còn nguyên_vẹn kèm khá nhiều dấu vân tay
